executionTime,wakeUpLatency,interfered
23249844,-3176,0
23555052,-8592,0
23941875,-16093,0
24043646,-20207,0
23136250,-21457,0
23260677,-26770,0
23248281,-16665,0
22787136,-16353,0
22792865,-33437,0
22675990,-7812,0
22874687,-19269,0
22808333,-5155,0
23000834,-24583,0
23086354,-27863,0
23155104,-18176,0
23356667,-19530,0
23251302,-22967,0
23031406,-20936,0
23187292,-25260,0
23092136,-11145,0
23264635,-13176,0
23175157,-7031,0
23237604,-4790,0
23539948,-19114,0
23204219,-15729,0
23439583,-7655,0
23178750,-26354,0
23164062,-21145,0
23820261,-26822,0
23660000,-23697,0
23757031,-14426,0
23584792,-23385,0
23067240,-11353,0
22752708,-25468,0
22929480,-16197,0
22875364,-32238,0
22906406,-20259,0
22974375,-26301,0
22879635,-6978,0
23011510,-26197,0
22978178,-19062,0
22928802,-19947,0
23181146,-26458,0
22849688,-15781,0
23032344,-13384,0
22881406,-25103,0
22871823,-13333,0
22960834,-10885,0
22720260,-13645,0
22824479,-15103,0
22851354,-28280,0
22999843,-27342,0
23065209,-19010,0
23276875,-12447,0
23165938,-24374,0
23207239,-13905,0
23282031,-13384,0
23619062,-27707,0
23264323,-33384,0
23376823,-17551,0
22849948,-7395,0
22795364,-9530,0
22981823,-12916,0
22822604,-18853,0
22953541,-24790,0
22991875,-24009,0
22922865,-13177,0
23105990,-27343,0
23093750,-20155,0
22963958,-7916,0
22882396,-8645,0
22963177,-14166,0
23158125,-16926,0
22912136,-21874,0
22977604,-25520,0
22970990,-26874,0
22991198,-20937,0
23102656,-26926,0
23013333,-3436,0
23019323,-6770,0
22887292,-8436,0
22842812,-13540,0
22957500,-19166,0
22793594,-30781,0
22936094,-27916,0
22937760,-26926,0
22873125,-5572,0
23020104,-7395,0
22869011,-22968,0
23101302,-16093,0
23394167,-15208,0
23270052,-7759,0
23086198,-5364,0
23010729,-23749,0
23175105,-15624,0
23384792,-3801,0
23155208,-23436,0
23293229,-26509,0
23256771,-14062,0
23086302,-7291,0
23162917,-22499,0
22903385,-29843,0
22987500,-9635,0
23015781,-13853,0
23060000,-27395,0
23317657,-17708,0
23162344,-3697,0
23543907,-6510,0
23392344,-25312,0
23261979,-4217,0
23463229,-19843,0
23336875,-18072,0
23328594,-23437,0
23331719,-10364,0
23386563,-16405,0
23487136,-24583,0
23168594,-22291,0
23350885,-2343,0
23255990,-6926,0
23148333,-5519,0
23520261,-25676,0
23264323,-19843,0
23327084,-6458,0
23232291,-25103,0
23094375,-22811,0
23299062,-28905,0
22959896,-25780,0
23196562,-10728,0
23004844,-12186,0
22958489,-23436,0
23074635,-16509,0
22972865,-28437,0
23028230,-25781,0
23062083,-13228,0
23047395,-30207,0
23116145,-4061,0
22878750,-21301,0
22980000,-24322,0
23031042,-14426,0
23021928,-14531,0
23140364,-17759,0
22964792,-23176,0
