executionTime,wakeUpLatency,interfered
23281,4167,0
23542,4895,1
22760,4167,0
42760,4583,0
22552,4114,0
24114,4532,0
22552,4115,0
22812,4740,0
22656,4844,0
22448,4532,0
22031,4219,0
23229,4688,0
22291,4219,0
42239,4636,0
42031,4167,0
23281,4636,0
22604,4271,1
22552,4739,0
22031,4114,0
22395,4740,0
22083,4010,0
23854,4635,0
30209,4062,0
42239,5834,0
41615,4062,0
42135,4583,0
41823,4115,0
42396,4584,0
22136,4010,0
42188,4687,0
22760,4063,0
22813,4739,1
30833,4115,0
42500,4583,0
41979,4740,0
29844,4583,0
41927,4114,0
30625,4584,0
29583,4063,0
42240,4948,0
41875,4219,0
22343,4636,0
21927,4114,0
30000,4532,0
29479,4115,0
23177,4636,0
22709,4271,1
43177,4688,0
22969,4167,0
29843,5834,0
42083,3959,0
42292,4687,0
22291,4011,0
22656,4584,0
22188,4166,0
22395,4532,0
22032,3958,0
42135,4532,0
22917,4011,0
42135,4635,0
23385,4792,0
23906,4688,1
41979,4166,0
42969,4687,0
22188,4062,0
22604,4792,0
21980,4218,0
22500,4583,0
42031,4271,0
22657,4635,0
22031,4740,0
22395,4584,0
41770,4011,0
23229,4740,0
23386,4114,0
22917,5208,1
29583,3907,0
22760,4896,0
22083,3959,0
22552,4480,0
22084,3958,0
22552,4583,0
22135,3907,0
22448,4480,0
22708,4011,0
22760,5261,0
22135,3907,0
42344,4479,0
42500,4011,0
23229,4635,1
22188,4062,0
22448,4479,0
22135,4115,0
30000,4322,0
41875,4063,0
22552,4584,0
41979,4688,0
30000,4479,0
41823,4010,0
43073,4479,0
42552,3958,0
22708,4323,0
42031,4010,0
23125,4479,0
29843,4271,1
22448,4636,0
21980,4010,0
29792,4531,0
22084,3906,0
29844,4479,0
30104,4010,0
22500,5208,0
29531,4375,0
22500,4427,0
41928,3958,0
23229,4479,0
22188,3802,0
22447,4532,0
22813,4062,0
30209,4687,1
22135,4063,0
42240,4479,0
41979,4688,0
42448,4323,0
41875,4063,0
42864,4584,0
42292,4167,0
42239,5105,0
22084,3958,0
42187,4427,0
29584,4010,0
29947,4323,0
22239,4011,0
23385,4480,0
22500,4167,1
23177,4583,0
22812,3958,0
22656,5208,0
22240,3750,0
22448,4427,0
22083,4010,0
22812,4479,0
22187,3906,0
22500,4479,0
22136,4010,0
42344,4479,0
22084,3854,0
22396,4427,0
23490,4635,0
22969,4635,1
42031,4011,0
43021,4479,0
22656,3906,0
22500,4427,0
29531,4115,0
22552,4427,0
22084,3906,0
22552,4532,0
22083,4011,0
22396,4583,0
21980,4062,0
22292,4271,0
22656,3958,0
30468,5157,0
42395,4375,1
42605,4531,0
21979,4011,0
22500,4427,0
21927,4011,0
22604,4428,0
22136,3906,0
42188,4531,0
29479,3958,0
22344,4583,0
29323,4687,0
22500,4427,0
22083,3958,0
23802,4583,0
29844,4271,1
42135,4583,0
29479,4063,0
42344,4583,0
22083,3958,0
22864,4428,0
29427,3906,0
42396,4583,0
29427,3906,0
42239,4427,0
22761,3958,0
22240,4479,0
22031,3854,0
22292,4375,0
22657,3958,0
24479,4532,1
22135,3958,0
22656,4531,0
22187,3958,0
22447,4428,0
22084,3958,0
22448,4583,0
21927,4636,0
30052,4479,0
29583,4010,0
30520,4480,0
22187,3855,0
22604,4688,0
22708,4011,0
22968,4584,1
22083,4011,0
22448,4583,0
41927,4740,0
22500,4375,0
22187,4063,0
23906,4531,0
22864,3958,0
22500,5260,0
22083,4114,0
22240,4479,0
29479,4011,0
22656,4427,0
21875,3958,0
23281,4427,0
22448,4271,1
22604,4635,0
22708,4011,0
42083,4531,0
22136,3906,0
22448,4636,0
22136,4062,0
43073,4375,0
21979,4011,0
22448,4479,0
41823,3958,0
22552,4375,0
41771,3750,0
42239,4532,0
30052,4688,0
30260,4740,1
29532,4166,0
23854,4479,0
22760,4011,0
22500,4270,0
29531,4062,0
42395,4427,0
22083,4062,0
23177,4480,0
22083,4011,0
22500,4635,0
22135,3958,0
22500,4375,0
22708,4010,0
23542,5260,0
24010,4584,1
23177,4687,0
22448,3802,0
43177,4479,0
22500,3958,0
30208,5000,0
22291,4011,0
30156,4271,0
42188,4062,0
43021,4375,0
22448,3802,0
30209,4323,0
22396,4063,0
24375,4375,0
23490,4219,1
23229,4948,0
22604,4063,0
23020,4532,0
22552,4115,0
22969,4531,0
42240,4010,0
44895,4480,0
22656,4063,0
24375,4635,0
30729,4010,0
22813,4479,0
22552,4792,0
43386,4687,0
23229,4323,1
23125,4635,0
30052,4062,0
22760,4688,0
42500,4010,0
42656,4583,0
30000,4062,0
22761,4583,0
29844,4791,0
42656,4583,0
22500,4167,0
23594,4635,0
42709,3958,0
22916,4688,0
23282,4114,0
23802,4843,1
30052,4167,0
22864,4688,0
42344,4062,0
22916,4480,0
22448,4010,0
43854,4532,0
42968,4011,0
42708,4584,0
22500,4375,0
22812,4688,0
22291,4115,0
42708,4480,0
29896,4115,0
23333,5209,0
22969,4323,1
42760,4688,0
30886,4219,0
42708,4427,0
22552,4948,0
22812,4636,0
22656,4115,0
23750,4687,0
22708,4115,0
22917,4739,0
22448,4062,0
22865,4479,0
22396,4218,0
23438,4687,0
42708,5000,1
42917,4687,0
42395,4063,0
43438,4635,0
23386,4010,0
42604,4687,0
29947,4219,0
22396,4583,0
42812,4271,0
42448,4583,0
22135,4115,0
42448,4583,0
22031,4063,0
22448,4531,0
23489,4167,0
22969,4896,1
22136,4739,0
22812,4636,0
41875,4011,0
42135,4636,0
22083,4219,0
22448,4896,0
41927,4063,0
30104,4532,0
41927,4115,0
42239,4532,0
29583,4010,0
22396,4636,0
22708,4063,0
23125,4791,1
22708,4167,0
22552,5417,0
29531,4062,0
42396,4479,0
22032,4218,0
22916,4584,0
22188,4167,0
42136,4687,0
29479,4114,0
29791,4844,0
30313,4166,0
42396,4479,0
22032,4843,0
23073,4635,0
23021,4271,1
42396,4636,0
29375,4167,0
22448,4531,0
22084,4166,0
22604,4583,0
22239,4115,0
22448,4635,0
21927,4792,0
22500,4583,0
22083,4063,0
30625,4480,0
22344,4271,0
43072,5261,0
22500,4323,1
22605,4635,0
21979,4167,0
22448,4688,0
22239,3959,0
30052,4636,0
22083,4011,0
23281,4532,0
42656,4062,0
22604,5260,0
22135,4583,0
42344,4583,0
41979,4010,0
23073,4584,0
42500,4011,0
42656,4688,1
29584,4166,0
22500,4583,0
22240,4114,0
42292,4479,0
29584,4739,0
22552,4635,0
