executionTime,wakeUpLatency,interfered
22084,4270,0
22343,4584,0
22083,4219,0
42604,4688,0
22396,4271,1
23281,4792,0
23177,4115,0
22084,4687,0
22084,4010,0
22448,4531,0
21979,4219,0
22448,4688,0
22031,4115,0
41979,4636,0
41823,4115,0
22343,4636,0
22187,4011,0
22552,4688,0
23281,4792,0
22812,4844,1
22188,4166,0
23125,4687,0
29583,4219,0
42187,4427,0
41823,4270,0
42083,4583,0
41719,4114,0
42396,4635,0
21979,4166,0
42084,4687,0
21980,4166,0
23281,4583,0
30313,4166,0
42709,5364,0
42239,4219,1
29844,4740,0
41875,4115,0
30521,4479,0
29375,4011,0
42135,4740,0
41615,4114,0
22188,4635,0
22187,4167,0
29688,4583,0
29427,4896,0
22552,4740,0
22031,4010,0
42760,4688,0
22708,4167,0
30261,4739,1
41875,4219,0
42240,4531,0
22135,4115,0
22552,4584,0
22135,4063,0
22343,4428,0
21979,4115,0
44271,4271,1
23177,4115,0
42656,5417,0
22396,4062,0
22760,4792,0
42917,4010,0
43021,4948,1
22552,4167,0
22760,4740,0
22500,4166,0
23125,4635,0
42969,4166,0
23125,5521,0
22552,4896,0
22917,4792,0
42500,4167,0
23646,4375,0
22657,4010,0
22969,4479,0
29791,4219,0
23593,4688,0
22969,4375,1
22864,5730,0
22500,4947,0
22969,4687,0
22552,3959,0
24114,4688,0
23281,4167,0
22916,5730,0
22500,4166,0
42709,5000,0
42396,4167,0
23073,4687,0
22552,4062,0
22969,4792,0
23177,4166,0
31406,4740,1
43229,4271,0
22969,5469,0
42396,4791,0
30261,4635,0
42292,4218,0
43073,4739,0
42448,4114,0
22969,4740,0
42187,4167,0
22865,4739,0
30000,4114,0
22865,4427,0
22552,4792,0
30625,4583,0
23020,4375,1
31093,4792,0
30417,4271,0
23073,4687,0
29948,4219,0
23021,4740,0
42343,4167,0
22865,5521,0
22500,4219,0
23021,4843,0
22552,4115,0
31042,4531,0
23125,4063,0
43020,4688,0
42656,4688,1
42916,4740,0
42292,4219,0
42761,4583,0
42292,4115,0
42604,4739,0
22448,4219,0
42500,4740,0
29896,4166,0
29947,4688,0
22656,5364,0
23125,4427,0
21979,4114,0
23229,4792,0
22656,4219,1
22500,4843,0
22031,4219,0
22604,4687,0
22083,4115,0
22552,4635,0
22083,4167,0
22344,4687,0
22031,4115,0
42916,4740,0
22760,4219,0
22552,5365,0
22031,4011,0
22760,4740,0
42500,4167,0
42657,4791,1
22188,4166,0
22553,4739,0
29427,4218,0
22396,4636,0
22083,4115,0
22291,4532,0
21979,4844,0
22396,4687,0
22083,4167,0
23386,4635,0
22292,4063,0
29791,4427,0
41771,4115,0
44323,4843,0
22500,4323,1
22656,4687,0
22240,4322,0
22604,4479,0
21875,4218,0
42864,4583,0
30261,4114,0
22656,5313,0
29480,4166,0
22500,4688,0
22188,4062,0
22657,4583,0
31042,4166,0
43125,4688,0
30104,4479,1
44011,4791,0
23177,4167,0
22500,5260,0
29531,4063,0
42187,4740,0
29427,4011,0
42604,4636,0
22031,4271,0
22448,4896,0
22239,4167,0
22500,4740,0
23073,3959,0
22500,4532,0
22760,4115,0
23073,4688,1
22084,4218,0
23229,4687,0
23021,4167,0
22396,4479,0
22136,4323,0
30052,4739,0
29427,4271,0
30260,4792,0
22136,4218,0
22396,4896,0
21979,4219,0
22604,4479,0
22864,4115,0
23593,6042,0
42343,4948,1
22865,4635,0
22031,4167,0
23333,4531,0
22135,4115,0
22344,4687,0
22187,4063,0
22500,4688,0
29375,4114,0
22604,4584,0
22135,4844,0
22448,4479,0
21979,4167,0
24010,4636,0
22500,4375,1
42344,5469,0
22031,4219,0
22396,4687,0
22135,4011,0
42292,4739,0
21979,4167,0
22448,4688,0
41875,4114,0
22344,4740,0
41823,4218,0
42188,5416,0
29427,4010,0
29792,4739,0
30052,4271,0
22968,4740,1
22084,4218,0
22343,4636,0
29375,4166,0
42292,4583,0
21979,4010,0
22500,4635,0
22032,4843,0
22291,4688,0
22083,4115,0
23125,4636,0
22344,4167,0
22291,4584,0
21979,4427,0
23072,4636,0
23282,4479,1
43021,4531,0
22344,4115,0
30157,4583,0
22448,4063,0
30989,4583,0
42604,4218,0
42813,5156,0
22239,4323,0
30364,4531,0
22448,4063,0
23125,4532,0
22396,4270,0
23594,4531,0
23177,4271,1
22969,4844,0
22552,4167,0
23021,4531,0
42343,4948,0
45417,4375,0
22656,3854,0
24219,4583,0
30261,4218,0
22917,4948,0
22396,4062,0
42760,4636,0
22552,4219,0
23490,4739,0
30365,5000,1
22916,4792,0
42239,4167,0
43437,4792,0
