executionTime,wakeUpLatency,interfered
22291,3959,0
22969,4583,0
22604,4271,1
42968,4688,0
22812,4063,0
22552,5208,0
22031,3959,0
22344,4583,0
22031,4115,0
22343,4636,0
22032,4218,0
22448,4531,0
21927,3958,0
42135,4584,0
42604,3958,0
22500,4531,0
22604,3958,0
22864,4740,1
22135,4219,0
23177,4531,0
22083,3959,0
22708,4375,0
29583,4167,0
42292,4635,0
41927,4063,0
42084,4531,0
41875,3959,0
42292,4583,0
22083,4011,0
42864,4428,0
22760,4167,0
23594,5313,0
30105,4270,1
42291,4688,0
41927,4167,0
29792,4375,0
41823,4010,0
30000,4583,0
29531,4063,0
42344,4531,0
42656,4011,0
22396,5000,0
22083,3959,0
30156,4271,0
29427,4271,0
23281,4584,0
22604,4323,1
42500,4636,0
22292,4010,0
29948,4583,0
42813,3906,0
42240,4583,0
21979,4687,0
22448,4583,0
22136,3958,0
23177,4583,0
22031,4115,0
42240,4635,0
21979,3958,0
42135,4636,0
22812,4115,0
22968,4844,1
41979,4791,0
42344,4635,0
22292,4115,0
23282,4531,0
22084,4062,0
22553,5312,0
41927,4010,0
22604,4583,0
22136,4010,0
22447,4584,0
41875,4010,0
22448,4531,0
22084,4010,0
23125,4531,0
31302,4323,1
22761,5781,0
22136,4114,0
22552,4479,0
22083,4114,0
22552,4687,0
22135,4011,0
22552,4531,0
21979,4167,0
23177,4583,0
21980,4062,0
42396,4375,0
41927,5208,0
23178,4583,0
22813,4166,1
22708,4687,0
22135,4063,0
29948,4740,0
41980,3906,0
22604,4583,0
41823,4167,0
29948,4532,0
42605,4791,0
42343,4427,0
42031,4062,0
23229,4479,0
42396,4010,0
22447,5365,0
30260,4167,0
22917,4688,1
23073,4062,0
29844,4531,0
22135,4115,0
30000,4531,0
29375,4115,0
22344,4479,0
30156,4011,0
22500,5156,0
41667,4270,0
22292,4635,0
22083,4115,0
22812,4427,0
22083,4063,0
30573,4635,0
22604,4218,1
42396,4635,0
43021,4063,0
42136,4479,0
41823,3958,0
42083,4479,0
41718,4063,0
42812,4636,0
22188,4114,0
42083,4688,0
29427,3958,0
29739,4479,0
22760,3958,0
22552,4479,0
23490,4687,0
23021,4791,1
22187,4219,0
23072,4636,0
22761,4010,0
22448,4427,0
22083,4063,0
22395,4584,0
22135,3959,0
22500,4532,0
22031,3907,0
42135,4635,0
22031,4063,0
22344,4479,0
22813,4062,0
23386,5312,0
42239,4219,1
42344,4583,0
22083,4115,0
22396,4740,0
29479,3906,0
22448,4636,0
22135,4115,0
22292,4427,0
22656,4167,0
22343,4532,0
21875,4688,0
22552,4479,0
22031,3958,0
30573,4583,0
42604,4062,0
42760,4844,1
22344,4166,0
22448,4583,0
22292,4062,0
22552,4375,0
22083,4740,0
42292,4635,0
29323,4063,0
23698,4531,0
30052,4063,0
22239,5417,0
22031,4063,0
22552,4427,0
29531,4010,0
42864,4532,0
29791,4323,1
42552,4688,0
22031,4115,0
23334,4635,0
30365,3958,0
42240,5208,0
29323,4375,0
42344,4583,0
22187,4011,0
22448,4531,0
22031,4167,0
22396,4583,0
21979,3906,0
22291,4584,0
23333,4063,0
22864,5625,1
22344,4843,0
22657,4583,0
22188,4114,0
23490,4427,0
21979,4062,0
29896,4635,0
29532,4062,0
29895,4480,0
22083,4063,0
22396,4636,0
22187,4844,0
22500,4375,0
21927,4063,0
23854,4584,0
43073,4427,1
23333,4583,0
22344,3958,0
23073,4531,0
22448,4062,0
22917,4531,0
22396,4062,0
22813,4479,0
29792,4010,0
23125,4479,0
22865,3958,0
22916,4896,0
22500,4063,0
23646,4427,0
24427,4219,1
43385,4740,0
22500,4063,0
22813,4687,0
22395,4011,0
43646,4531,0
23334,4062,0
22761,4583,0
42343,4844,0
22761,4687,0
42292,4010,0
43334,4531,0
29948,3906,0
30312,4896,0
30520,4063,0
23281,4687,1
22500,4114,0
22865,4323,0
29844,5000,0
42864,4323,0
22604,4063,0
23802,4635,0
23125,4062,0
22865,5365,0
22448,4166,0
22813,4687,0
22708,4062,0
22969,4375,0
22604,4063,0
23386,4479,0
23229,4219,1
43698,4688,0
23281,4062,0
30260,4479,0
22396,4427,0
30364,4531,0
42083,4167,0
42604,4583,0
22500,4219,0
30208,4531,0
22395,4167,0
22813,4479,0
22500,4114,0
24271,4635,0
23125,5000,1
23073,4583,0
22552,4167,0
23698,4427,0
42395,4063,0
46041,4584,0
22761,4062,0
22708,4479,0
29896,4011,0
22865,4583,0
22604,4739,0
42604,4375,0
22500,4166,0
24114,4479,0
31146,4218,1
22865,5365,0
42344,4010,0
42656,4532,0
30000,4115,0
22395,4636,0
29635,4063,0
42136,4479,0
21979,4063,0
22240,4479,0
42656,4115,0
22448,4480,0
22135,4532,0
23073,4532,0
30104,4271,1
22552,4687,0
41823,4010,0
22500,4427,0
21927,4010,0
42031,4427,0
41875,4010,0
42031,4479,0
22084,4739,0
22448,4636,0
22239,4167,0
42916,4375,0
29479,4167,0
23021,4740,0
22552,4219,1
42343,4636,0
29480,4114,0
42500,4531,0
22136,3906,0
22396,4739,0
22084,4062,0
23021,4635,0
22552,4011,0
22292,5260,0
21979,4063,0
22447,4688,0
22240,3854,0
22448,4531,0
42604,4063,0
42865,4843,1
41875,4114,0
42917,4531,0
22865,4115,0
42292,4479,0
29427,4375,0
22552,4531,0
41770,4115,0
42344,4583,0
22084,4062,0
42239,4636,0
22188,4115,0
22605,4375,0
22135,4167,0
23021,4583,0
22552,4948,1
22604,4687,0
41927,4062,0
42969,4531,0
22084,3958,0
22396,4739,0
43333,4427,0
31198,4583,0
41771,4062,0
44635,5885,0
29531,4010,0
22604,4479,0
22136,3958,0
22968,4480,0
23281,4219,0
23438,5364,1
29479,4063,0
42344,4479,0
21979,4063,0
22552,4375,0
21979,4010,0
42031,4584,0
29427,4166,0
30208,4531,0
30261,4114,0
42188,5260,0
22083,4271,0
22292,4427,0
22083,4063,0
43073,4427,0
30104,4219,1
22552,4948,0
22084,4062,0
22552,4583,0
22083,4011,0
22292,4427,0
21979,4844,0
22292,4635,0
22031,4114,0
31406,4531,0
22031,4063,0
42240,4479,0
21928,4166,0
23073,4427,0
22396,4219,1
22552,4740,0
21979,4740,0
29791,4636,0
21979,4011,0
23593,4584,0
42552,4011,0
22396,5261,0
22031,4114,0
42031,4636,0
41667,3906,0
22448,4479,0
41980,3906,0
42083,4583,0
30052,4114,0
23593,4740,1
22812,4167,0
42396,5260,0
29532,4583,0
22396,4427,0
22187,4115,0
22917,4583,0
22083,4167,0
29792,4479,0
22136,4114,0
22187,4583,0
22031,4115,0
22343,4428,0
22083,4740,0
23021,4531,0
22500,4219,1
23020,4532,0
22188,4010,0
22552,4740,0
22084,3854,0
22240,4635,0
22083,4115,0
29948,4427,0
41927,4792,0
42292,4531,0
21927,4063,0
42135,4532,0
42448,3959,0
29791,5625,0
22969,4218,0
24531,4844,1
42031,4219,0
22604,4635,0
41927,4062,0
22500,4635,0
22032,4166,0
29948,4531,0
43073,4114,0
22447,5261,0
29688,4479,0
42083,4480,0
41927,3855,0
22813,4271,0
43230,3750,0
22917,4635,1
22292,4010,0
42083,4532,0
41771,4063,0
42083,4479,0
41823,4687,0
29688,4583,0
22031,4062,0
22135,4479,0
22240,4010,0
30104,4688,0
22032,4062,0
22396,4427,0
21927,4063,0
23021,4531,0
29948,4895,1
42344,4635,0
21980,4114,0
42916,4584,0
22604,4011,0
22448,4635,0
29531,4114,0
22344,4583,0
22083,4115,0
22552,4583,0
22083,4167,0
22344,4583,0
22084,3854,0
29844,4635,0
43229,4063,0
22917,4739,1
22344,4166,0
42135,4583,0
41979,3802,0
22604,4635,0
41875,4115,0
29896,4479,0
41823,4062,0
22396,4583,0
22136,4114,0
22500,4531,0
22292,3958,0
22657,4531,0
22709,4010,0
43073,4791,1
22188,4114,0
29844,4844,0
22240,4062,0
22552,4479,0
21979,4115,0
22396,4636,0
22031,4792,0
22552,4584,0
41719,4114,0
30417,4583,0
42500,4218,0
42240,4375,0
41719,4062,0
23177,4583,0
22604,4167,1
42552,4583,0
22239,4115,0
22396,4636,0
22135,3854,0
22500,4428,0
30156,4115,0
42239,5209,0
22187,4375,0
42239,4636,0
29479,4114,0
42552,4479,0
22136,4010,0
22292,4635,0
22605,4166,0
43802,4688,1
42812,4167,0
29896,4584,0
22083,4740,0
22344,4375,0
21979,4063,0
23177,4479,0
22187,4011,0
42083,5313,0
22031,4167,0
22396,4635,0
21979,4115,0
22448,4375,0
21979,4791,0
42813,4583,0
22500,4115,1
23333,4687,0
22604,4115,0
22448,4583,0
22083,3907,0
29791,4636,0
41823,4011,0
22500,4584,0
41719,3958,0
42136,4583,0
41979,3958,0
42292,4635,0
30208,3958,0
22448,5156,0
23386,4583,0
23125,4688,1
22083,4167,0
42500,4635,0
22031,4011,0
22448,4583,0
21979,4115,0
22709,4531,0
22761,4114,0
22448,4479,0
21979,4739,0
42291,4480,0
41927,3959,0
42708,4531,0
22761,4166,0
22864,4584,1
22136,4010,0
22448,4479,0
22031,4010,0
22812,4375,0
22031,5000,0
22448,4583,0
22135,4063,0
30469,4583,0
23282,4010,0
42187,5209,0
21875,3959,0
22500,4428,0
29375,4063,0
31094,4636,0
42240,4167,1
29688,4531,0
21927,4062,0
22448,4531,0
42552,4062,0
29947,5417,0
41823,4739,0
22448,4479,0
22083,4115,0
22448,4636,0
22135,4115,0
22500,4480,0
21979,4167,0
23073,4584,0
43125,4270,1
22552,4583,0
22083,4688,0
42292,4531,0
22083,3802,0
23177,4479,0
41980,4114,0
22708,5000,0
22187,4011,0
22448,4583,0
21979,4167,0
42188,4583,0
21927,4063,0
22500,4635,0
22656,4167,0
43386,4791,1
42135,4167,0
42135,5260,0
41667,4115,0
30000,4479,0
41979,4062,0
42187,4583,0
22031,4062,0
22604,4479,0
22187,3958,0
29792,4583,0
42448,4114,0
29844,4479,0
22084,4635,0
22917,4583,0
22500,4375,1
42292,4791,0
29479,4115,0
42136,4323,0
21979,4011,0
29791,4636,0
22187,4063,0
22396,4479,0
22083,5209,0
30052,4531,0
41875,4062,0
30625,4479,0
22187,4063,0
23177,5000,0
42240,4271,1
22500,4583,0
22135,4063,0
22343,4532,0
22083,3959,0
30000,4532,0
29323,4062,0
42969,4323,0
30156,3906,0
42031,5782,0
41823,4115,0
42344,4531,0
42032,3958,0
22448,4583,0
42344,4062,0
22916,4740,1
41927,4115,0
22448,4688,0
22760,4063,0
22344,4375,0
22187,4584,0
42239,4584,0
22135,4063,0
42500,4584,0
29479,3907,0
42188,4531,0
22083,4167,0
29740,4427,0
41823,4115,0
23073,4479,0
42344,5312,1
22812,4532,0
22031,4063,0
30573,4531,0
22344,4062,0
22396,5104,0
22031,4011,0
22343,4688,0
29375,4011,0
22344,4479,0
22136,4844,0
22239,4427,0
21979,4011,0
23854,4583,0
23229,4218,1
42500,5208,0
22188,4062,0
22605,4531,0
22031,4063,0
42136,4583,0
21928,4062,0
22500,4636,0
41770,4011,0
22448,4479,0
22708,3907,0
22500,4480,0
21979,4531,0
42917,4583,0
44428,4218,1
42448,4635,0
31511,3958,0
23073,4687,0
22188,3958,0
22292,4739,0
41927,3958,0
42240,4531,0
21979,4792,0
22552,4531,0
22135,4063,0
23073,4740,0
30052,3959,0
42344,5000,0
22760,4063,0
31302,4739,1
41927,4011,0
29948,4687,0
41875,4010,0
29792,4635,0
41823,4062,0
22344,4687,0
42500,4010,0
42240,5156,0
29531,4063,0
42344,4427,0
41771,3906,0
42760,4636,0
22552,4219,0
22812,4688,1
22239,4167,0
22448,4687,0
30416,3854,0
42239,4480,0
29531,4583,0
42188,4583,0
22084,4062,0
22812,4531,0
22292,4062,0
22396,4687,0
22084,3854,0
22448,4583,0
30104,4011,0
42656,4636,1
29427,4739,0
42083,4687,0
41823,3959,0
42865,4479,0
22344,4011,0
22500,5052,0
21927,4010,0
29791,4531,0
41771,4010,0
22188,4583,0
22083,3854,0
42240,4583,0
22761,4062,0
30313,4687,1
22812,4115,0
22396,5312,0
22083,4219,0
22552,4270,0
22083,4063,0
42187,4531,0
41927,3906,0
42135,4635,0
41614,4011,0
42135,4480,0
42552,4063,0
22396,4375,0
21980,4895,0
23177,4583,0
23125,4323,1
22448,4688,0
41980,4062,0
29896,4375,0
22135,4115,0
22447,4636,0
42031,4063,0
22396,4584,0
22135,4740,0
22396,4687,0
22083,4115,0
29583,4375,0
42187,3959,0
30312,5157,0
42240,4219,1
23438,4531,0
22083,4062,0
22344,4583,0
22188,3906,0
42032,4635,0
29480,4010,0
42864,4636,0
42656,4063,0
29688,4531,0
22084,3958,0
42343,4532,0
41823,3958,0
42187,4532,0
22761,4114,0
22760,4688,1
22291,4115,0
22292,4635,0
42552,4010,0
42083,4479,0
22084,4739,0
22500,4531,0
22084,4062,0
23646,4531,0
21927,4011,0
22500,4687,0
41875,4063,0
23229,4480,0
22187,4063,0
22968,4636,0
42396,4844,1
42448,4583,0
22084,4114,0
23021,4531,0
22448,3854,0
22448,5260,0
22031,3958,0
42187,4479,0
41718,4063,0
22344,4479,0
22083,4063,0
22396,4479,0
22031,3959,0
23125,4532,0
23646,4063,0
22813,4792,1
41823,4271,0
31146,4583,0
22084,3958,0
22656,4375,0
22135,3958,0
22239,4844,0
21823,4114,0
30521,4583,0
30365,4114,0
42239,5209,0
22083,4844,0
22343,4532,0
41666,4063,0
43281,4636,0
22500,4271,1
22657,4739,0
29375,4114,0
42136,4218,0
22239,3646,0
22447,4428,0
29375,4687,0
22239,4584,0
21980,4062,0
23073,4583,0
29479,4167,0
42187,5156,0
41875,3906,0
42136,4531,0
22656,4011,0
23073,4792,1
42083,5364,0
42135,4531,0
41823,4167,0
42864,4479,0
22813,4114,0
22448,5260,0
41875,4062,0
42344,4531,0
29479,4114,0
22552,4636,0
22032,4062,0
22448,4375,0
22031,4115,0
42604,4531,0
43073,4375,1
