executionTime,wakeUpLatency,interfered
22135,4271,0
22969,4687,0
22500,4271,1
42343,4584,0
22291,4167,0
23438,4583,0
22240,3958,0
22500,5365,0
22239,4896,0
22292,4739,0
22187,4115,0
22761,4635,0
22135,4063,0
42084,4635,0
41823,4011,0
22292,4635,0
22709,4062,0
22656,4844,1
22187,4948,0
22708,4636,0
22031,4063,0
23073,4635,0
30052,4063,0
42239,5313,0
41823,4218,0
42084,4583,0
41667,4062,0
42239,4584,0
21979,4063,0
42031,4740,0
22604,4115,0
23697,4844,1
30104,4219,0
42084,5416,0
42031,4010,0
29844,4687,0
41875,4114,0
30052,4687,0
29479,4167,0
42240,4687,0
41927,4167,0
22448,4583,0
22031,3959,0
29792,4636,0
30000,4791,0
22865,4791,1
22083,4062,0
42864,4636,0
22448,4166,0
29896,4479,0
41823,4063,0
42239,4792,0
22135,4167,0
22553,4635,0
22083,4167,0
22500,4688,0
21927,4167,0
42968,4532,0
22812,4063,0
42864,5261,0
22656,4532,1
22448,4739,0
41979,4062,0
42240,4688,0
21927,4011,0
22448,4688,0
22031,4219,0
22240,4688,0
41979,4062,0
22552,4584,0
21980,4843,0
22552,4636,0
41875,4062,0
23177,4636,0
22865,4062,0
22761,4844,1
29792,4114,0
22396,4583,0
22135,4219,0
22344,4531,0
22136,4166,0
22552,4531,0
22083,4167,0
23125,4635,0
22709,4062,0
22657,5833,0
21979,4271,0
42344,4479,0
41979,4219,0
23177,4688,0
22448,4167,1
22760,4688,0
22136,4062,0
29843,4636,0
44114,3958,0
22344,4635,0
41927,4844,0
30052,4584,0
41927,4166,0
42136,4635,0
41615,4166,0
22656,4792,0
41771,4010,0
22500,4636,0
30677,4063,0
22812,4792,1
22083,4948,0
29896,4688,0
22136,4114,0
30521,4531,0
30469,4114,0
22344,5364,0
29479,4063,0
22344,4531,0
41823,4062,0
22291,4688,0
22188,4114,0
22500,4427,0
22083,4062,0
30677,4531,0
23281,4323,1
42240,5885,0
41979,4844,0
42240,4583,0
41875,3958,0
42917,4583,0
41771,4219,0
42291,4740,0
21979,4219,0
42084,4687,0
29583,4063,0
30000,4584,0
22135,3959,0
22657,4583,0
22656,4063,0
23646,4791,1
22969,4062,0
22448,5364,0
22083,4219,0
22395,4532,0
22187,4115,0
23020,4584,0
22083,4011,0
22395,4688,0
22292,4167,0
42188,4583,0
23021,4062,0
22708,4583,0
22136,4687,0
23333,4531,0
42395,4323,1
42448,4844,0
21875,4114,0
22552,4583,0
29636,4218,0
22552,4583,0
22136,4114,0
22448,4635,0
22083,4896,0
22448,4636,0
22083,4115,0
23177,4479,0
22812,4115,0
30625,5365,0
42292,4218,1
42344,4635,0
22239,4219,0
22500,4687,0
22135,4011,0
22500,4635,0
22031,4115,0
42188,4531,0
30156,4063,0
22500,5313,0
29375,4584,0
22500,4584,0
22135,4011,0
23021,4479,0
30364,4063,0
42552,5573,1
29480,4114,0
43177,4636,0
22188,3906,0
22291,4584,0
29531,4948,0
42188,4583,0
29532,4166,0
43542,4635,0
22500,4062,0
22396,5260,0
22084,4010,0
22344,4739,0
22761,4114,0
22864,4688,1
22291,4167,0
22500,4375,0
22031,3958,0
23854,4375,0
22760,4167,0
22500,5156,0
22240,4479,0
29687,4584,0
29271,4167,0
30000,4532,0
22083,4063,0
22448,4479,0
22083,4011,0
23021,4531,0
23229,4219,1
22500,4635,0
42032,4895,0
22292,4635,0
22187,3959,0
23229,4532,0
22396,4115,0
22552,5157,0
22188,4062,0
22448,4636,0
29479,4114,0
22552,4531,0
22084,4010,0
22344,4688,0
22813,4114,0
24062,4844,1
22917,4219,0
42188,4531,0
21875,4532,0
22344,4583,0
22032,4166,0
42916,4479,0
21927,4114,0
22448,4688,0
41771,4219,0
22240,4531,0
41771,4166,0
42136,4479,0
29635,4844,0
30521,4531,0
29844,4219,1
23281,4583,0
22188,4167,0
22500,4792,0
29531,4063,0
42291,4636,0
21979,4063,0
22604,4636,0
22188,4896,0
22552,4583,0
22136,4062,0
22396,4531,0
22760,4011,0
22344,5520,0
23489,4063,0
22761,4687,1
22084,4270,0
42344,4739,0
21979,4115,0
29844,4427,0
22084,4114,0
29844,4739,0
42761,4166,0
42188,4687,0
22135,5052,0
29948,4635,0
22032,4114,0
23177,4427,0
22136,4166,0
23646,5364,0
22604,4427,1
22447,4740,0
22083,4167,0
22552,4531,0
41823,4844,0
45104,4635,0
22187,4167,0
23177,4532,0
30260,4167,0
22448,5625,0
21979,4271,0
42083,4427,0
21979,4167,0
23177,4688,0
29948,4271,1
22552,4687,0
41667,4062,0
42239,4688,0
30677,4166,0
22343,4688,0
29531,4480,0
42187,4584,0
22032,4166,0
22968,4532,0
42031,4167,0
22448,4480,0
22031,3958,0
22448,4740,0
30365,4114,0
22864,4688,1
42031,4896,0
22657,4583,0
22135,4167,0
43906,4531,0
42500,4062,0
42291,4584,0
22136,4166,0
22344,4531,0
22187,4115,0
42292,4583,0
29636,4062,0
22500,4531,0
22083,4271,0
43490,4739,0
30521,4219,1
42395,5730,0
22240,4531,0
22396,4687,0
22083,3959,0
23021,4635,0
22031,4115,0
22447,4532,0
22031,4115,0
22500,4636,0
22031,4115,0
22448,4636,0
41927,3907,0
42292,4636,0
42396,4167,0
43334,4791,1
22656,4062,0
42083,5312,0
29375,4063,0
22396,4479,0
41927,4166,0
42292,4688,0
22031,4167,0
42344,4687,0
22240,4166,0
22552,4635,0
22813,4062,0
22396,4479,0
22136,4791,0
23386,4635,0
42187,4167,1
42239,4688,0
22136,4114,0
22552,4635,0
41719,4062,0
29739,4688,0
41875,4115,0
42135,4531,0
29479,4740,0
22291,4636,0
22084,4062,0
22395,4688,0
22500,3907,0
22343,5313,0
30104,4063,0
43490,4739,1
22136,4218,0
22447,4584,0
22239,4063,0
42344,4479,0
29532,4218,0
29844,4636,0
30156,4115,0
42240,5260,0
22084,4375,0
22448,4635,0
22136,4166,0
42187,4635,0
29583,4167,0
23021,4635,0
22552,4271,1
22552,4687,0
22032,4114,0
22344,4635,0
22135,3906,0
22292,4479,0
22031,4115,0
29687,4583,0
22240,4218,0
42291,4948,0
22083,4115,0
22500,4531,0
22084,3906,0
22553,4739,0
23437,5000,0
30260,4792,1
22187,4167,0
23229,4688,0
42864,4063,0
22709,4479,0
22135,4271,0
42188,4531,0
41770,4115,0
22500,4532,0
41771,3802,0
42396,4427,0
29479,4167,0
22448,4427,0
22865,4167,0
42760,4636,0
29844,5000,1
22604,4635,0
22240,4010,0
23229,4636,0
22135,3958,0
29844,5156,0
22031,4115,0
22448,4584,0
22031,4062,0
22396,4583,0
22188,4791,0
22708,4532,0
22188,4062,0
23177,4739,0
23750,4166,0
22813,5417,1
22136,4114,0
22552,4740,0
22188,4114,0
29792,4531,0
41875,4167,0
42084,4583,0
21927,4114,0
42240,4687,0
42812,4167,0
29844,5313,0
22135,4688,0
22343,4480,0
41823,4114,0
23802,4583,0
42292,4323,1
22552,4636,0
22136,4271,0
29843,4584,0
41666,3855,0
22656,4636,0
29479,4792,0
42135,4532,0
41771,4063,0
22239,4688,0
42344,4115,0
23021,5313,0
22031,3906,0
42135,4636,0
42552,4063,0
42709,4739,1
41979,4115,0
29791,4636,0
22188,4270,0
22500,4427,0
22865,4010,0
29948,4635,0
22135,4635,0
22448,4531,0
22084,4062,0
22865,4583,0
29427,4114,0
42292,4427,0
22083,4323,0
43490,4635,0
22500,4219,1
22500,4687,0
29531,4740,0
22500,4636,0
22135,4115,0
23178,4635,0
22500,4063,0
22605,5260,0
22135,4011,0
29791,4584,0
41979,4115,0
22604,4583,0
22083,4062,0
42188,4687,0
42656,4167,0
22709,4791,1
42708,4114,0
29792,4687,0
41770,4532,0
22605,4531,0
21927,4114,0
22656,4583,0
22135,4063,0
22500,4687,0
22240,4063,0
42292,4583,0
22032,4114,0
30000,4479,0
22292,4687,0
23177,4635,0
22656,4323,1
23385,4740,0
22135,4219,0
22448,5312,0
41927,4167,0
29792,4583,0
41928,4218,0
42240,4583,0
41875,4219,0
22604,4740,0
22239,4167,0
42917,4635,0
22708,3906,0
22500,5312,0
23438,4375,0
22917,4739,1
29531,4115,0
42240,4583,0
22291,4063,0
42187,4479,0
29635,4115,0
42135,4531,0
22135,4167,0
22396,4583,0
22240,4896,0
42448,4583,0
41927,4011,0
29844,4427,0
22084,4010,0
23125,5000,0
22760,4271,1
22604,4636,0
22136,4167,0
42291,4427,0
22031,4114,0
22396,4636,0
21979,4167,0
22292,4687,0
22761,4114,0
42188,5833,0
22084,4062,0
22500,4583,0
22032,4166,0
22917,4583,0
22500,4323,1
29948,4688,0
41927,4166,0
22500,4583,0
42656,4063,0
42240,4635,0
41823,5312,0
42031,4635,0
29635,4115,0
23073,4584,0
21927,4062,0
22500,4948,0
22083,4063,0
42969,4740,0
22760,4063,0
22917,4791,1
22188,4947,0
22448,4636,0
22135,4063,0
23125,4583,0
22656,4010,0
42291,5209,0
41875,4063,0
42083,4583,0
22136,4114,0
22969,4531,0
21823,4167,0
22500,4427,0
21979,4062,0
23906,4739,0
23125,4323,1
22500,5313,0
22083,4636,0
29740,4583,0
22136,4062,0
42813,4687,0
22083,4115,0
22240,4531,0
29635,4115,0
29792,4531,0
41823,4115,0
29948,4635,0
22187,4011,0
22448,4792,0
42500,4114,0
31355,4739,1
42239,4167,0
22656,5261,0
22136,3958,0
22343,4636,0
22083,4063,0
22500,4636,0
22135,4063,0
22395,4636,0
41771,4114,0
22396,4635,0
22708,3958,0
42292,4740,0
23490,4688,0
22709,4583,1
41979,3854,0
23698,4635,0
22136,4166,0
22604,4375,0
22084,4114,0
42187,4531,0
21979,4062,0
22396,4583,0
22136,4739,0
42291,4740,0
41979,4010,0
42969,4531,0
42553,4218,0
30677,5364,0
42500,4219,1
42396,4739,0
22187,4115,0
22448,4635,0
22083,3959,0
30000,4687,0
41719,4062,0
29792,4635,0
22760,4011,0
22448,6042,0
22084,4687,0
42135,4740,0
29375,3907,0
42500,4636,0
22656,4167,0
30208,4792,1
22135,4167,0
22448,4739,0
22031,4115,0
29791,4479,0
41927,4792,0
29740,4583,0
22135,4167,0
23229,4583,0
42292,4063,0
22604,5104,0
22136,4167,0
22552,4531,0
22136,4114,0
30625,4635,0
29896,4271,1
42448,4792,0
29635,4115,0
42396,4635,0
43073,3958,0
42240,4583,0
41771,4375,0
22656,4531,0
