executionTime,wakeUpLatency,interfered
22760,4167,0
22240,4635,0
22031,4271,0
42188,4531,0
21980,4218,0
22604,4583,0
21927,4114,0
22292,4479,0
22083,4115,0
22396,4635,0
22032,4114,0
22396,4479,0
21927,4740,0
42865,4531,0
42292,4219,1
23021,4687,0
22083,4063,0
22343,4740,0
22083,3855,0
22500,4479,0
21979,4063,0
22448,4584,0
29427,4844,0
42240,4635,0
41823,4115,0
42812,4636,0
42396,4062,0
42135,5365,0
23125,4219,0
42812,4792,1
22135,4115,0
22864,4583,0
29479,4167,0
42084,4583,0
41771,4166,0
29740,4583,0
42709,4062,0
29844,4687,0
29271,4844,0
42031,4635,0
41718,4219,0
22969,4479,0
21927,4114,0
30365,4583,0
29896,4219,1
22656,4739,0
22135,4063,0
42187,4740,0
22084,4010,0
29688,4479,0
41771,4010,0
42031,4531,0
22656,4063,0
22448,5312,0
22031,4167,0
22500,4636,0
22031,4010,0
42083,4636,0
22552,4115,0
42396,4688,1
22292,4010,0
22344,4687,0
42500,3958,0
41979,5416,0
21875,4844,0
22240,4740,0
21823,4167,0
23125,4636,0
41771,4114,0
22448,4583,0
22032,4062,0
22240,4687,0
42917,4062,0
22656,4688,1
22187,4844,0
22395,4636,0
29375,4167,0
23177,4531,0
22917,4010,0
22396,5469,0
21979,4062,0
22448,4687,0
21927,4010,0
22395,4584,0
21928,4114,0
22344,4375,0
21979,4115,0
43594,4635,0
43333,4167,1
22344,5521,0
22083,4532,0
22448,4636,0
22032,3854,0
30000,4532,0
41562,4219,0
22343,4636,0
41823,4114,0
29687,4636,0
41823,4167,0
42031,4636,0
41823,4063,0
22396,4532,0
42291,4115,0
23594,4687,1
29739,4063,0
22448,5156,0
21927,4010,0
29792,4583,0
21927,4062,0
29687,4740,0
29375,4010,0
22344,4687,0
29271,4062,0
22396,4635,0
42500,3958,0
22395,4584,0
23229,4375,0
24375,4792,1
22969,4375,0
29739,4636,0
22031,3959,0
42136,4687,0
41875,4166,0
42240,4479,0
41823,4062,0
42344,5312,0
41667,4740,0
42032,4583,0
21980,4010,0
42813,4635,0
30156,4115,0
30052,4948,1
22188,4114,0
22448,4531,0
22031,4115,0
22500,4583,0
22031,4115,0
22395,4532,0
21823,4114,0
23229,4531,0
22656,4166,0
22396,5208,0
21875,4427,0
22240,4583,0
21927,4166,0
42656,4635,0
22500,4271,1
22448,4792,0
22083,4167,0
23177,4583,0
41875,3906,0
42032,4687,0
22032,4843,0
22395,4636,0
29479,4011,0
23125,4583,0
22135,4167,0
22240,5312,0
22084,3958,0
22344,4583,0
22604,4115,0
22917,4635,1
22135,5000,0
29583,4636,0
41823,4115,0
43490,4531,0
22656,4167,0
22447,5313,0
21771,4062,0
22291,4636,0
22083,4115,0
42084,4843,0
29479,4167,0
22291,4636,0
29531,4167,0
22812,4584,0
23125,4219,1
22500,5313,0
29480,4843,0
42136,4635,0
29479,4010,0
42813,4583,0
22135,4011,0
22136,5208,0
29427,4062,0
42084,4791,0
29271,4114,0
42083,4583,0
22084,3906,0
22240,4583,0
22605,4114,0
24167,4791,1
23437,3958,0
22760,4532,0
22343,4063,0
22396,4636,0
22500,3958,0
22656,4636,0
22500,4011,0
22343,4532,0
22396,4115,0
30052,4323,0
30520,4011,0
30208,5312,0
23750,4271,0
23073,4687,1
22448,4166,0
23073,4636,0
22500,4011,0
22813,4583,0
42135,4167,0
24479,4584,0
22396,4115,0
22865,4687,0
22344,4844,0
23021,4583,0
22448,4114,0
23438,4375,0
30521,3959,0
23906,5260,0
22969,4271,1
22708,4531,0
22396,4062,0
22813,4791,0
22291,4063,0
42500,4635,0
22500,4114,0
22604,4583,0
23125,4167,0
42812,5521,0
22396,4427,0
22917,4583,0
42239,4063,0
23229,4739,0
42813,4062,0
43021,4740,1
29739,4167,0
30260,4584,0
29792,4167,0
22812,4532,0
22292,4896,0
22500,4583,0
29739,4115,0
43229,4740,0
22760,4167,0
22760,4532,0
22396,4063,0
22656,4479,0
22292,4166,0
23229,4688,0
22968,4271,1
22605,4635,0
22292,4167,0
23594,4635,0
23073,4010,0
42448,4635,0
22500,4375,0
30313,4687,0
22395,4115,0
30157,4635,0
42291,4167,0
42656,4739,0
22240,4010,0
30156,4740,0
22968,4167,0
23177,4844,1
22500,4948,0
22864,4636,0
22656,4115,0
23177,4479,0
22657,4010,0
22500,5365,0
41979,4167,0
46406,4479,0
22187,4011,0
22448,4479,0
29427,4115,0
22344,4531,0
21927,4115,0
43281,4584,0
23490,4166,1
22448,5365,0
29271,4167,0
22239,4636,0
41822,3959,0
42083,4635,0
29531,4115,0
22291,4584,0
29323,4167,0
42291,4636,0
22657,4166,0
22344,4635,0
41615,4010,0
22135,4636,0
22656,4115,0
22813,4687,1
29427,4167,0
22396,4948,0
41927,4114,0
22344,4687,0
22084,4062,0
42136,4635,0
41771,4218,0
42135,4635,0
21927,4167,0
22552,4635,0
23021,3906,0
42135,5365,0
30000,4219,0
22917,4739,1
22083,4167,0
42239,4583,0
29375,4062,0
42188,4635,0
21927,4167,0
22291,4688,0
22864,4115,0
22292,4427,0
22083,4792,0
22239,4479,0
21927,4167,0
23125,4480,0
22083,4115,0
23021,4843,0
42292,4218,1
42135,4792,0
41823,4166,0
42292,4531,0
21980,4947,0
42136,4635,0
29323,4218,0
22865,4531,0
42344,4063,0
42031,5469,0
21927,4062,0
42188,4479,0
21980,4114,0
22709,4687,0
22448,4271,1
22396,4687,0
21979,4219,0
22240,4635,0
42917,3958,0
42135,5417,0
21979,4687,0
22240,4531,0
41719,4167,0
30157,4687,0
41771,4063,0
42136,4687,0
29271,4011,0
22396,4479,0
22552,4115,0
22969,4687,1
22083,4896,0
22344,4687,0
29479,4063,0
42969,4687,0
22656,4115,0
22344,5365,0
21875,4062,0
42240,4583,0
29219,4166,0
29739,4636,0
29271,3906,0
42135,4583,0
22708,4063,0
23438,4687,1
23229,4115,0
42135,5313,0
29271,4479,0
22240,4531,0
21979,4062,0
22448,4583,0
22032,4062,0
22188,4583,0
21979,4010,0
22240,4531,0
21927,3958,0
29688,4531,0
21980,4739,0
42865,4635,0
22396,4219,1
22969,4687,0
22239,4063,0
22291,5365,0
22031,4011,0
29583,4688,0
21875,4167,0
22240,4583,0
41719,4166,0
22135,4532,0
21875,4063,0
42865,4687,0
42500,3906,0
22291,5261,0
42292,4531,0
42656,4792,1
29427,4114,0
22448,4739,0
21979,4115,0
42031,4427,0
29323,4167,0
22240,4479,0
21927,4010,0
22292,4635,0
21979,4896,0
29427,4583,0
21927,4063,0
22291,4375,0
22292,4114,0
22969,5156,0
22552,4219,1
22396,4739,0
21979,4115,0
22187,4740,0
21979,4011,0
22292,4375,0
21927,3906,0
22344,4531,0
22552,4115,0
29792,5313,0
